layer_name,type
backbone.body.layer4.1.conv1,Conv2d
backbone.body.layer4.1.bn1,FrozenBatchNorm2d
backbone.body.layer4.1.conv2,Conv2d
backbone.body.layer4.1.bn2,FrozenBatchNorm2d
backbone.body.layer4.1.conv3,Conv2d
backbone.body.layer4.1.bn3,FrozenBatchNorm2d
backbone.body.layer4.1.relu,ReLU
backbone.body.layer4.2,Bottleneck
backbone.body.layer4.2.conv1,Conv2d
backbone.body.layer4.2.bn1,FrozenBatchNorm2d
backbone.body.layer4.2.conv2,Conv2d
backbone.body.layer4.2.bn2,FrozenBatchNorm2d
backbone.body.layer4.2.conv3,Conv2d
backbone.body.layer4.2.bn3,FrozenBatchNorm2d
backbone.body.layer4.2.relu,ReLU
backbone.fpn,FeaturePyramidNetwork
backbone.fpn.inner_blocks,ModuleList
backbone.fpn.inner_blocks.0,Conv2dNormActivation
backbone.fpn.inner_blocks.0.0,Conv2d
backbone.fpn.inner_blocks.1,Conv2dNormActivation
backbone.fpn.inner_blocks.1.0,Conv2d
backbone.fpn.inner_blocks.2,Conv2dNormActivation
backbone.fpn.inner_blocks.2.0,Conv2d
backbone.fpn.layer_blocks,ModuleList
backbone.fpn.layer_blocks.0,Conv2dNormActivation
backbone.fpn.layer_blocks.0.0,Conv2d
backbone.fpn.layer_blocks.1,Conv2dNormActivation
backbone.fpn.layer_blocks.1.0,Conv2d
backbone.fpn.layer_blocks.2,Conv2dNormActivation
backbone.fpn.layer_blocks.2.0,Conv2d
backbone.fpn.extra_blocks,LastLevelP6P7
backbone.fpn.extra_blocks.p6,Conv2d
backbone.fpn.extra_blocks.p7,Conv2d
anchor_generator,AnchorGenerator
head,RetinaNetHead
head.classification_head,RetinaNetClassificationHead
head.classification_head.conv,Sequential
head.classification_head.conv.0,Conv2dNormActivation
head.classification_head.conv.0.0,Conv2d
head.classification_head.conv.0.1,ReLU
head.classification_head.conv.1,Conv2dNormActivation
head.classification_head.conv.1.0,Conv2d
head.classification_head.conv.1.1,ReLU
head.classification_head.conv.2,Conv2dNormActivation
head.classification_head.conv.2.0,Conv2d
head.classification_head.conv.2.1,ReLU
head.classification_head.conv.3,Conv2dNormActivation
head.classification_head.conv.3.0,Conv2d
head.classification_head.conv.3.1,ReLU
head.classification_head.cls_logits,Conv2d
head.regression_head,RetinaNetRegressionHead
head.regression_head.conv,Sequential
head.regression_head.conv.0,Conv2dNormActivation
head.regression_head.conv.0.0,Conv2d
head.regression_head.conv.0.1,ReLU
head.regression_head.conv.1,Conv2dNormActivation
head.regression_head.conv.1.0,Conv2d
head.regression_head.conv.1.1,ReLU
head.regression_head.conv.2,Conv2dNormActivation
head.regression_head.conv.2.0,Conv2d
head.regression_head.conv.2.1,ReLU
head.regression_head.conv.3,Conv2dNormActivation
head.regression_head.conv.3.0,Conv2d
head.regression_head.conv.3.1,ReLU
head.regression_head.bbox_reg,Conv2d
transform,GeneralizedRCNNTransform
